transition,phase3b_observations,phase3c_observations,observations_difference,phase3b_m_cap,phase3c_m_cap,m_cap_difference,phase3b_epsilon_sat,phase3c_epsilon_sat,epsilon_sat_difference,phase3b_saturation_ratio,phase3c_saturation_ratio,saturation_ratio_difference,phase3b_empirical_saturation,phase3c_empirical_saturation,phase3b_predicted_saturated,phase3c_predicted_saturated,phase3b_observed_saturated,phase3c_observed_saturated,phase3b_total_saturated,phase3c_total_saturated,classification_changed
Record Service Entry Sheet -> Vendor creates invoice,1448,1515,67,0.0006906077348066,0.0013201320132013201,0.0006295242783947202,66.94143646408847,59.07326732673279,-7.868169137355679,2.7914524616753096,3.1632554971476656,0.37180303547235605,False,False,True,True,True,True,True,True,False
Release Purchase Order -> Change Approval for Purchase Order,858,858,0,0.0,0.0,0.0,86.4223776223777,86.4223776223777,0.0,0.8417632271707226,0.8417632271707226,0.0,False,False,False,False,False,False,False,False,False
Remove Payment Block -> Clear Invoice,15600,22126,6526,0.0675641025641025,0.1792913314652445,0.111727228901142,0.0,0.0,0.0,,,,True,True,True,True,True,True,True,True,False
SRM: Awaiting Approval -> SRM: Document Completed,861,861,0,0.0,0.0,0.0,108.0000000000001,108.0000000000001,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
SRM: Complete -> SRM: Awaiting Approval,861,861,0,0.0,0.0,0.0,108.0000000000001,108.0000000000001,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
SRM: Created -> SRM: Complete,847,847,0,0.0,0.0,0.0,108.0000000000001,108.0000000000001,0.0,0.0048582457149257,0.004858245714925719,1.9081958235744878e-17,False,False,False,False,False,False,False,False,False
SRM: Document Completed -> SRM: In Transfer to Execution Syst.,564,564,0,0.0,0.0,0.0,107.91489361702138,107.91489361702138,0.0,0.0051943720383191,0.005194372038319186,8.673617379884035e-17,False,False,False,False,False,False,False,False,False
SRM: In Transfer to Execution Syst. -> SRM: Ordered,562,562,0,0.0,0.0,0.0,108.0000000000001,108.0000000000001,0.0,2.7459250472299853e-07,2.7459250472299853e-07,0.0,False,False,False,False,False,False,False,False,False
Vendor creates debit memo -> Record Goods Receipt,744,761,17,0.0,0.0,0.0,84.64516129032268,81.27201051248369,-3.373150777838987,0.534513611052122,0.5566983089760037,0.02218469792388167,False,False,False,False,False,False,False,False,False
Vendor creates debit memo -> Record Invoice Receipt,623,738,115,0.0032102728731942,0.017615176151761516,0.014404903278567317,32.71781701444627,12.611382113821161,-20.106434900625107,6.691321031201838,17.359351664069493,10.668030632867655,False,False,True,True,True,True,True,True,False
Vendor creates debit memo -> Vendor creates invoice,1237,1244,7,0.0,0.0,0.0,100.6690379951496,98.33054662379433,-2.3384913713552606,0.1536329091687874,0.15728659812692936,0.003653688958141943,False,False,False,False,False,False,False,False,False
Vendor creates invoice -> Change Quantity,1308,1401,93,0.0,0.0,0.0,79.88990825688083,62.50449678800862,-17.385411468872206,0.6745384240865131,0.862158973918033,0.18762054983151988,False,False,False,False,False,False,False,False,False
Vendor creates invoice -> Clear Invoice,611,800,189,0.0916530278232405,0.20625,0.11459697217675949,0.0,0.0,0.0,,,,True,True,True,True,True,True,True,True,False
Vendor creates invoice -> Create Purchase Order Item,1763,1956,193,0.0425411230856494,0.07004089979550102,0.02749977670985162,0.9188882586500392,0.0,-0.9188882586500392,485.2226346469898,,,False,True,True,True,True,True,True,True,False
Vendor creates invoice -> Record Goods Receipt,55366,56714,1348,9.030813134414624e-05,0.00022922029833903444,0.0001389121669948882,94.13773073727572,92.63029234404209,-1.5074383932336275,0.1075227862822153,0.10927258078342736,0.001749794501212057,False,False,False,False,False,False,False,False,False
Vendor creates invoice -> Record Invoice Receipt,43981,49229,5248,0.0034333007435028,0.012512949684129273,0.009079648940626473,35.64693845069464,16.623786792337878,-19.023151658356763,3.6862444370040346,7.904536445370189,4.218292008366154,False,False,True,True,True,True,True,True,False
Vendor creates invoice -> Vendor creates debit memo,1695,1700,5,0.0,0.000588235294117647,0.000588235294117647,102.03893805309744,98.76705882352951,-3.2718792295679293,0.1390941624563634,0.14370196698670046,0.004607804530337045,False,False,False,False,False,False,False,False,False
Vendor creates invoice -> Vendor creates invoice,796,839,43,0.0012562814070351,0.003575685339690107,0.0023194039326550073,64.13065326633173,57.241001191895194,-6.88965207443654,1.0639854898950696,1.1920491101146244,0.12806362021955486,False,False,True,True,True,True,True,True,False
